PH,potential,conductivity,Output
6.3,5.5,1539,0
6.3,6.3,1581,0
6.3,4.3,1600,0
6.2,7.1,1674,0
6.3,6.6,1537,0
6.3,8.2,1583,0
6.3,7.7,1605,0
6.2,9,1640,0
6.2,10.9,1638,0
6.2,12.4,1581,0
6.3,5.5,1602,0
6.3,5.7,1574,0
6.4,6.5,1637,0
6.3,6.4,1547,0
6.3,7.5,1583,0
6.2,8.7,1578,0
6.3,7.5,1624,0
6.3,7.6,1626,0
6.2,9.5,1630,0
6.3,7.5,1541,0
6.3,8.8,1603,0
6.2,10.1,1572,0
6.2,9.5,1604,0
6.3,6.3,1610,0
6.3,7.4,1625,0
6.2,8.6,1591,0
6.2,10,1598,0
6.2,10.3,1594,0
6.2,10.4,1635,0
6.2,9.9,1617,0
6.2,10.3,1595,0
6.2,10.2,1626,0
6.2,10,1654,0
6.2,9.5,1616,0
6.2,9.5,1623,0
6.2,9,1629,0
6.2,10.1,1640,0
6.2,9.1,1636,0
6.2,10.5,1632,0
6.2,11.6,1644,0
6.2,10.3,1643,0
6.2,9.8,1583,0
6.5,7.2,1654,0
6.2,9.4,1605,0
6.2,8.4,1640,0
6.3,8.8,1634,0
6.2,9.4,1613,0
6.2,9.4,1635,0
6.2,10.2,1613,0
6.2,10.7,1635,0
6.2,9,1630,0
6.2,8.5,1593,0
6.2,9.3,1650,0
6.2,10.7,1641,0
6.1,16.3,1596,0
6.1,15.2,1597,0
6.1,16,1637,0
6.1,14.3,1606,0
6.1,13.6,1645,0
6.1,14.4,1658,0
6.1,14.1,1618,0
6.1,15,1603,0
6.1,15.8,1626,0
6.1,15.3,1620,0
6.1,14.8,1633,0
6.1,14.5,1648,0
6.1,15.5,1643,0
6.1,16.1,1605,0
6.1,14.9,1614,0
6.1,15,1637,0
6.1,15.9,1608,0
6.1,15.5,1636,0
6.1,14.5,1631,0
6.2,12.7,1607,0
6.1,15.6,1619,0
6.1,13.6,1620,0
6.2,13.8,1624,0
